case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
DrivAer,65334765.0,1708407.0,Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2660954.0,Cell-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1877760.0,Cell-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1878212.0,Cell-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3433597.0,Global Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3020190.0,Global Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2680689.0,Global Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,71599581.0,Fused Face-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,71169073.0,Fused Face-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,71235913.0,Fused Face-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0






DrivAer,65334765.0,37675398.0,Fused Face-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,37258672.0,Fused Face-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,37701066.0,Fused Face-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0






DrivAer,65334765.0,26198454.0,Fused Face-Based,CPU,NeoN,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,21776514.0,Fused Face-Based,CPU,NeoN,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23808444.0,Fused Face-Based,CPU,NeoN,4.0,gpu-nvidia-h100,460041233.0






DrivAer,65334765.0,13491464.0,Fused Face-Based,CPU,NeoN,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,13616655.0,Fused Face-Based,CPU,NeoN,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,13537881.0,Fused Face-Based,CPU,NeoN,8.0,gpu-nvidia-h100,460041233.0






DrivAer,65334765.0,7018313.0,Fused Face-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0
