time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,cpu,gpu
0.13428745,0.130069,0.0,0.0,LDC-S,LDC-S,batchedFace,HardCodedUpwind,julia,false,true
0.11861289,0.114351,0.0,0.0,LDC-S,LDC-S,batchedFace,DivOnlyDynamicUpwind,julia,false,true
0.13504271,0.1303655,0.0,0.0,LDC-S,LDC-S,batchedFace,HardCodedCDF,julia,false,true
0.13474733,0.130341,0.0,0.0,LDC-S,LDC-S,batchedFace,DynamicUpwind,julia,false,true
0.11723927,0.11478,0.0,0.0,LDC-S,LDC-S,batchedFace,DivOnlyPrecalculatedWeightsUpwind,julia,false,true
0.13534425,0.130847,0.0,0.0,LDC-S,LDC-S,batchedFace,PrecalculatedWeightsUpwind,julia,false,true
0.13305299,0.130783,0.0,0.0,LDC-S,LDC-S,batchedFace,PrecalculatedWeightsCDF,julia,false,true
0.11788562,0.1151305,0.0,0.0,LDC-S,LDC-S,batchedFace,DivOnlyPrecalculatedWeightsCDF,julia,false,true
3.8183846,3.773364,0.0,0.0,Wind,Wind,batchedFace,DivOnlyDynamicCDF,julia,false,true
3.8719637,3.789082,0.0,0.0,Wind,Wind,batchedFace,DivOnlyHardCodedUpwind,julia,false,true
4.0270715,3.978329,0.0,0.0,Wind,Wind,batchedFace,LaplaceOnly,julia,false,true
4.0322638,3.985215,0.0,0.0,Wind,Wind,batchedFace,DynamicCDF,julia,false,true
3.8565984,3.784152,0.0,0.0,Wind,Wind,batchedFace,DivOnlyHardCodedCDF,julia,false,true
4.012751,3.982377,0.0,0.0,Wind,Wind,batchedFace,HardCodedUpwind,julia,false,true
3.9564795,3.793235,0.0,0.0,Wind,Wind,batchedFace,DivOnlyDynamicUpwind,julia,false,true
4.1244206,4.000426,0.0,0.0,Wind,Wind,batchedFace,HardCodedCDF,julia,false,true
4.0266185,3.979983,0.0,0.0,Wind,Wind,batchedFace,DynamicUpwind,julia,false,true
3.8200173,3.777613,0.0,0.0,Wind,Wind,batchedFace,DivOnlyPrecalculatedWeightsUpwind,julia,false,true
4.0425363,3.992933,0.0,0.0,Wind,Wind,batchedFace,PrecalculatedWeightsUpwind,julia,false,true
4.0530705,4.0064316,0.0,0.0,Wind,Wind,batchedFace,PrecalculatedWeightsCDF,julia,false,true
3.854754,3.78945,0.0,0.0,Wind,Wind,batchedFace,DivOnlyPrecalculatedWeightsCDF,julia,false,true
1.4952123,1.488582,0.0,0.0,LDC-M,LDC-M,batchedFace,DivOnlyDynamicCDF,julia,false,true
1.5368528,1.489129,0.0,0.0,LDC-M,LDC-M,batchedFace,DivOnlyHardCodedUpwind,julia,false,true
1.952498,1.9402175,0.0,0.0,LDC-M,LDC-M,batchedFace,LaplaceOnly,julia,false,true
