case,cells,time_us,strategy,executor,julia_or_neon,threads,node
LDC_N90,729000.0,2440.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N90,729000.0,2486.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N90,729000.0,2413.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N90,729000.0,2395.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N100,1000000.0,29005.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,28819.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,28867.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,4105.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,4032.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,3982.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,3195.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,3069.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,3088.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,3096.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,3044.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N100,1000000.0,3045.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N110,1331000.0,39735.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,39801.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,39635.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,5152.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,5051.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,5075.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,3959.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,3893.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,3872.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,3897.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,3818.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N110,1331000.0,3833.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N120,1728000.0,48886.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,48897.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,48869.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,6273.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,6145.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,6108.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,4841.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,4747.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,4768.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,4775.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,4746.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N120,1728000.0,4714.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N130,2197000.0,66593.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,66517.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,66628.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,7527.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,7488.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,7458.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,5944.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,5890.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,5863.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,5847.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,5833.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N130,2197000.0,5796.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N140,2744000.0,72726.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,72688.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
