case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
LDC_N50,125000.0,430.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,402.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,382.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,968.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,954.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,954.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1125.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1063.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1059.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,673.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,574.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,560.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1120.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1084.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1079.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,178.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,131.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,122.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,454.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,445.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,432.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,564.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,470.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,472.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,501.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,285.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,273.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,610.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
