,strategy,language,time_s,nprocs,time_mean_ms,case_long,serial_time,speedup,efficiency,procticks,log_speedup,logthp1,avg_time,ms_normed,strategy_display
50,faceBased,IcoFoam,0.193874,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
51,faceBased,IcoFoam,0.173188,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
52,faceBased,IcoFoam,0.166125,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
53,faceBased,IcoFoam,0.16224,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
54,faceBased,IcoFoam,0.163921,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
55,faceBased,IcoFoam,0.164195,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
56,faceBased,IcoFoam,0.159531,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
57,faceBased,IcoFoam,0.161776,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
58,faceBased,IcoFoam,0.162708,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
59,faceBased,IcoFoam,0.159936,10,166.74939999999998,Lid-Driven Cavity 200,866.5396,5.196657978979235,0.5196657978979234,3.25,2.377584110330053,3.25,166.74939999999998,2.0843674999999997e-05,Face-Based(IcoFoam)
60,faceBased,IcoFoam,0.189591,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
61,faceBased,IcoFoam,0.18811,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
62,faceBased,IcoFoam,0.184188,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
63,faceBased,IcoFoam,0.258706,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
64,faceBased,IcoFoam,0.170353,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
65,faceBased,IcoFoam,0.167573,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
66,faceBased,IcoFoam,0.166907,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
67,faceBased,IcoFoam,0.178223,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
68,faceBased,IcoFoam,0.16574,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
69,faceBased,IcoFoam,0.167021,12,183.6412,Lid-Driven Cavity 200,866.5396,4.718655726492748,0.3932213105410623,3.5,2.238375916166396,3.5,183.6412,2.295515e-05,Face-Based(IcoFoam)
