time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads,node
2.2991269595402297,2.295608,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicUpwind,julia,float64,cpu,true,true,16,H200
2.3676060956439393,2.34722,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,16,H200
2.385785340648855,2.3665605,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicCDF,julia,float64,cpu,true,true,16,H200
2.3677976245265153,2.349347,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,16,H200
2.28703435452882,2.281564,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedUpwind,julia,float64,cpu,true,true,16,H200
3.5144162382290935,3.507641,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,Fused,julia,float64,cpu,true,true,16,H200
7.499947104947526,7.488902,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedCDF,julia,float64,cpu,true,true,16,H200
7.504795925037481,7.498765,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicUpwind,julia,float64,cpu,true,true,16,H200
8.160998014681892,8.145282,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,16,H200
7.513569884384385,7.5081125,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicCDF,julia,float64,cpu,true,true,16,H200
8.142784848534202,8.136054,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,16,H200
7.502759310344827,7.497864,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedUpwind,julia,float64,cpu,true,true,16,H200
9.682419891682786,9.686496,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,Fused,julia,float64,cpu,true,true,16,H200
7.149003497142857,7.1240355,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedCDF,julia,float64,cpu,true,true,16,H200
7.216179230880231,7.199414,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicUpwind,julia,float64,cpu,true,true,16,H200
7.2777978369723435,7.249524,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,16,H200
7.145193132857143,7.1283865,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicCDF,julia,float64,cpu,true,true,16,H200
7.305771602919708,7.282889,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,16,H200
7.226803755780347,7.204451,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedUpwind,julia,float64,cpu,true,true,16,H200
6.6188934801587305,6.6038895,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,Fused,julia,float64,cpu,true,true,16,H200
2.156367063848145,2.148294,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedCDF,julia,float64,cpu,true,true,32,H200
2.4103312516875603,2.402759,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicUpwind,julia,float64,cpu,true,true,32,H200
