time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads,cells,ms_normed,varDisplay,varType
7.081298806223479,7.075467,0.0,0.0,LDC-343000,LDC-343000,batchedFace,Fused,julia,float64,cpu,True,True,2,343000,2.0645186023975158e-05,Fused,Fused
18.18400021818182,18.204688,0.0,0.0,LDC-343000,LDC-343000,cellBased,HardCodedCDF,julia,float64,cpu,True,True,2,343000,5.301457789557381e-05,Linear (Stat.),Hardcoded
18.087438433212995,18.041944,0.0,0.0,LDC-343000,LDC-343000,cellBased,DynamicUpwind,julia,float64,cpu,True,True,2,343000,5.273305665659765e-05,Upwind (Dyn.),Dynamic
18.51391683394834,18.471094,0.0,0.0,LDC-343000,LDC-343000,cellBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,2,343000,5.397643391821673e-05,Upwind (Prec.),Precalculated Weights
18.2377838,18.277317,0.0,0.0,LDC-343000,LDC-343000,cellBased,DynamicCDF,julia,float64,cpu,True,True,2,343000,5.317138134110787e-05,Linear (Dyn.),Dynamic
18.545757081481483,18.501065,0.0,0.0,LDC-343000,LDC-343000,cellBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,2,343000,5.4069262628225896e-05,Linear (Prec.),Precalculated Weights
18.075999249097475,18.059978,0.0,0.0,LDC-343000,LDC-343000,cellBased,HardCodedUpwind,julia,float64,cpu,True,True,2,343000,5.269970626559031e-05,Upwind (Stat.),Hardcoded
17.266047889655173,17.3438635,0.0,0.0,LDC-343000,LDC-343000,cellBased,Fused,julia,float64,cpu,True,True,2,343000,5.0338332039811e-05,Fused,Fused
0.3536200542,0.380659,0.0,0.0,LDC-343000,LDC-343000,faceBased,HardCodedCDF,julia,float64,cpu,True,True,8,343000,1.0309622571428571e-06,Linear (Stat.),Hardcoded
0.354103237,0.3805635,0.0,0.0,LDC-343000,LDC-343000,faceBased,DynamicUpwind,julia,float64,cpu,True,True,8,343000,1.0323709533527698e-06,Upwind (Dyn.),Dynamic
0.3535067745,0.3815345,0.0,0.0,LDC-343000,LDC-343000,faceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,8,343000,1.0306319956268222e-06,Upwind (Prec.),Precalculated Weights
0.3537051191,0.381695,0.0,0.0,LDC-343000,LDC-343000,faceBased,DynamicCDF,julia,float64,cpu,True,True,8,343000,1.0312102597667639e-06,Linear (Dyn.),Dynamic
