time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads
0.2069510558,0.206222,0.0,0.0,LDC-512000,LDC-512000,faceBased,DynamicCDF,julia,float64,gpu,true,true,1
0.2119308576,0.211574,0.0,0.0,LDC-512000,LDC-512000,faceBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.20555672419999999,0.205229,0.0,0.0,LDC-512000,LDC-512000,faceBased,HardCodedUpwind,julia,float64,gpu,true,true,1
0.2053596796,0.205152,0.0,0.0,LDC-512000,LDC-512000,faceBased,Fused,julia,float64,gpu,true,true,1
0.1571148299,0.1563605,0.0,0.0,LDC-512000,LDC-512000,batchedFace,HardCodedCDF,julia,float64,gpu,true,true,1
0.1573374677,0.156627,0.0,0.0,LDC-512000,LDC-512000,batchedFace,DynamicUpwind,julia,float64,gpu,true,true,1
0.15507063440000002,0.1545275,0.0,0.0,LDC-512000,LDC-512000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.1562138409,0.155521,0.0,0.0,LDC-512000,LDC-512000,batchedFace,DynamicCDF,julia,float64,gpu,true,true,1
0.1545614761,0.1541675,0.0,0.0,LDC-512000,LDC-512000,batchedFace,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.15305709750000002,0.1525045,0.0,0.0,LDC-512000,LDC-512000,batchedFace,HardCodedUpwind,julia,float64,gpu,true,true,1
0.1531100997,0.1526425,0.0,0.0,LDC-512000,LDC-512000,batchedFace,Fused,julia,float64,gpu,true,true,1
0.339552088,0.2874805,0.0,0.0,LDC-512000,LDC-512000,cellBased,HardCodedCDF,julia,float64,gpu,true,true,1
0.5374677161373946,0.543703,0.0,0.0,LDC-512000,LDC-512000,cellBased,DynamicUpwind,julia,float64,gpu,true,true,1
0.5111044858287123,0.4899105,0.0,0.0,LDC-512000,LDC-512000,cellBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.526931563559322,0.53371,0.0,0.0,LDC-512000,LDC-512000,cellBased,DynamicCDF,julia,float64,gpu,true,true,1
0.5356283175850194,0.5237245,0.0,0.0,LDC-512000,LDC-512000,cellBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.5317497520564043,0.536151,0.0,0.0,LDC-512000,LDC-512000,cellBased,HardCodedUpwind,julia,float64,gpu,true,true,1
0.4601059913,0.4543815,0.0,0.0,LDC-512000,LDC-512000,cellBased,Fused,julia,float64,gpu,true,true,1
1.4088338442437924,1.338702,0.0,0.0,LDC-4096000,LDC-4096000,faceBased,HardCodedCDF,julia,float64,gpu,true,true,1
1.5617878545910373,1.591489,0.0,0.0,LDC-4096000,LDC-4096000,faceBased,DynamicUpwind,julia,float64,gpu,true,true,1
1.383508241971207,1.3808845,0.0,0.0,LDC-4096000,LDC-4096000,faceBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
1.3393863503082284,1.336116,0.0,0.0,LDC-4096000,LDC-4096000,faceBased,DynamicCDF,julia,float64,gpu,true,true,1
1.5173062369942196,1.515012,0.0,0.0,LDC-4096000,LDC-4096000,faceBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
1.5287099730144127,1.571079,0.0,0.0,LDC-4096000,LDC-4096000,faceBased,HardCodedUpwind,julia,float64,gpu,true,true,1
1.5125703972685887,1.533759,0.0,0.0,LDC-4096000,LDC-4096000,faceBased,Fused,julia,float64,gpu,true,true,1
0.5177208828464885,0.517477,0.0,0.0,LDC-4096000,LDC-4096000,batchedFace,HardCodedCDF,julia,float64,gpu,true,true,1
0.4656785743,0.465512,0.0,0.0,LDC-4096000,LDC-4096000,batchedFace,DynamicUpwind,julia,float64,gpu,true,true,1
0.48123390779999997,0.4811515,0.0,0.0,LDC-4096000,LDC-4096000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.4641165137,0.463779,0.0,0.0,LDC-4096000,LDC-4096000,batchedFace,DynamicCDF,julia,float64,gpu,true,true,1
0.4810013967,0.4805715,0.0,0.0,LDC-4096000,LDC-4096000,batchedFace,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.4620822637,0.461447,0.0,0.0,LDC-4096000,LDC-4096000,batchedFace,HardCodedUpwind,julia,float64,gpu,true,true,1
0.4739902142,0.473679,0.0,0.0,LDC-4096000,LDC-4096000,batchedFace,Fused,julia,float64,gpu,true,true,1
1.655947917467683,1.607504,0.0,0.0,LDC-4096000,LDC-4096000,cellBased,HardCodedCDF,julia,float64,gpu,true,true,1
2.080987450146016,2.092737,0.0,0.0,LDC-4096000,LDC-4096000,cellBased,DynamicUpwind,julia,float64,gpu,true,true,1
2.1490410913399396,2.172613,0.0,0.0,LDC-4096000,LDC-4096000,cellBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
2.079840396076795,2.0859365,0.0,0.0,LDC-4096000,LDC-4096000,cellBased,DynamicCDF,julia,float64,gpu,true,true,1
2.190852119947276,2.185163,0.0,0.0,LDC-4096000,LDC-4096000,cellBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
2.1052027214014353,2.102942,0.0,0.0,LDC-4096000,LDC-4096000,cellBased,HardCodedUpwind,julia,float64,gpu,true,true,1
2.0481813751027116,2.045721,0.0,0.0,LDC-4096000,LDC-4096000,cellBased,Fused,julia,float64,gpu,true,true,1
0.3687448117,0.3679185,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedCDF,julia,float64,gpu,true,true,1
0.3701542572,0.3696,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicUpwind,julia,float64,gpu,true,true,1
0.5498283605164423,0.5201095,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.5765862955071792,0.56713,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicCDF,julia,float64,gpu,true,true,1
0.5758636716763006,0.5309515,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.5693030228571428,0.5272995,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedUpwind,julia,float64,gpu,true,true,1
0.5619435221069253,0.52531,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,Fused,julia,float64,gpu,true,true,1
0.2402504418,0.239318,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedCDF,julia,float64,gpu,true,true,1
0.2306170119,0.229554,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicUpwind,julia,float64,gpu,true,true,1
0.2280351349,0.2270325,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.1976305673,0.1969455,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicCDF,julia,float64,gpu,true,true,1
0.1971283522,0.196569,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.1946462013,0.194103,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedUpwind,julia,float64,gpu,true,true,1
0.1946274209,0.194137,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,Fused,julia,float64,gpu,true,true,1
0.5238441714285714,0.4704985,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedCDF,julia,float64,gpu,true,true,1
0.6695688371028541,0.7131665,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicUpwind,julia,float64,gpu,true,true,1
0.6629207565263718,0.6703385,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.6489657273675972,0.6808795,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicCDF,julia,float64,gpu,true,true,1
0.6672224737830226,0.671665,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
