,case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz,time_ms,ms_normed,us_normed,mean_normed,us_mean_normed,merged,bandwidth
42,LDC_N30,27000,629,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.629,2.3296296296296297e-05,0.0232962962962962,2.2444444444444444e-05,0.0224444444444444,Cell-Based (JuNe),7.005405405405406
43,LDC_N30,27000,606,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.606,2.2444444444444444e-05,0.0224444444444444,2.2444444444444444e-05,0.0224444444444444,Cell-Based (JuNe),7.271287128712872
44,LDC_N30,27000,615,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.615,2.2777777777777776e-05,0.0227777777777777,2.2444444444444444e-05,0.0224444444444444,Cell-Based (JuNe),7.164878048780488
45,LDC_N10,1000,158,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.158,0.000158,0.158,0.000108,0.108,Fused Face-Based (NeoN),0.9721518987341772
46,LDC_N10,1000,111,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.111,0.000111,0.111,0.000108,0.108,Fused Face-Based (NeoN),1.383783783783784
47,LDC_N10,1000,98,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.098,9.8e-05,0.098,0.000108,0.108,Fused Face-Based (NeoN),1.56734693877551
48,LDC_N10,1000,426,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.426,0.000426,0.426,0.000426,0.426,Cell-Based (NeoN),0.3605633802816901
49,LDC_N10,1000,407,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.407,0.0004069999999999,0.407,0.000426,0.426,Cell-Based (NeoN),0.3773955773955774
50,LDC_N10,1000,397,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.397,0.000397,0.397,0.000426,0.426,Cell-Based (NeoN),0.3869017632241813
51,LDC_N10,1000,503,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.503,0.000503,0.503,0.000432,0.432,Face-Based (NeoN),0.3053677932405567
52,LDC_N10,1000,416,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.416,0.000416,0.416,0.000432,0.432,Face-Based (NeoN),0.3692307692307692
53,LDC_N10,1000,414,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.414,0.000414,0.414,0.000432,0.432,Face-Based (NeoN),0.3710144927536232
