ID,0,1,2,3,4,5,6
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,n/a,n/a,n/a,n/a,n/a,"3,124.17 {4528}","3,596.12 {3657}"
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],n/a,n/a,n/a,n/a,n/a,392.86 {4528},468.65 {3657}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],n/a,n/a,n/a,n/a,n/a,272.66 {4528},466.17 {3657}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,{4528},{3657}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,1.37 {4517},2.86 {3663}
SM_B.TriageAC.l1tex__t_sector_hit_rate.pct [%],n/a,n/a,n/a,n/a,n/a,{4528},{3657}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmaheavy.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,0.47 {4517},0.99 {3663}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmalite.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,0 {4517},0 {3663}
TriageAC.tpc__warps_active_realtime.avg.per_cycle_elapsed [warp],n/a,n/a,n/a,n/a,n/a,"12,491.27 {4517}","132,978.94 {3663}"
TriageAC.tpc__warps_active_realtime.sum.per_cycle_elapsed [warp],n/a,n/a,n/a,n/a,n/a,"574,598.33 {4517}","6,117,031.46 {3663}"
